"Delay (s)";"Crosscorrelation (a.u.)";"Normalized CC (a.u.)";"Crosscorrelation history 1 (a.u.)";"Normalized CC history 1 (a.u.)";"Crosscorrelation history 2 (a.u.)";"Normalized CC history 2 (a.u.)";"Crosscorrelation history 3 (a.u.)";"Normalized CC history 3 (a.u.)";"Crosscorrelation history 4 (a.u.)";"Normalized CC history 4 (a.u.)";"Crosscorrelation history 5 (a.u.)";"Normalized CC history 5 (a.u.)"
3.750000000E-3;NaN;1.220803022E-4;2.842349846E-7;1.155148742E-3;1.384722413E-7;5.627598431E-4;2.563753031E-8;1.041925255E-4;5.460304527E-7;2.219101887E-3;1.157601791E-7;4.704566029E-4
3.770833333E-3;NaN;1.234405180E-4;2.835884982E-7;1.165362746E-3;1.184484396E-7;4.867454063E-4;2.240179155E-8;9.205667183E-5;5.531368375E-7;2.273029646E-3;9.692672561E-8;3.983052762E-4
3.791666667E-3;NaN;1.248082695E-4;2.830445488E-7;1.176015211E-3;1.147935629E-7;4.769531038E-4;2.123281290E-8;8.821972035E-5;5.234889976E-7;2.175032258E-3;9.910036208E-8;4.117497889E-4
3.812500000E-3;NaN;1.261835569E-4;2.837891330E-7;1.192101704E-3;1.335188435E-7;5.608672861E-4;2.232087425E-8;9.376240711E-5;4.591372382E-7;1.928679503E-3;1.221818274E-7;5.132443340E-4
3.833333333E-3;NaN;1.275663800E-4;2.844843573E-7;1.208118139E-3;1.764699737E-7;7.494140569E-4;2.504626784E-8;1.063638465E-4;3.731808990E-7;1.584785250E-3;1.646728579E-7;6.993153107E-4
3.854166667E-3;NaN;1.289567390E-4;2.817227540E-7;1.209430036E-3;2.386400743E-7;1.024476971E-3;2.824289714E-8;1.212461813E-4;2.835676068E-7;1.217349951E-3;2.208886646E-7;9.482705313E-4
3.875000000E-3;NaN;1.303546338E-4;2.720393128E-7;1.180518849E-3;3.079631125E-7;1.336410738E-3;3.063210856E-8;1.329285137E-4;2.065537780E-7;8.963433469E-4;2.800691686E-7;1.215364533E-3
3.895833333E-3;NaN;1.317600645E-4;2.539107119E-7;1.113729195E-3;3.680497880E-7;1.614377711E-3;3.125163990E-8;1.370791468E-4;1.527811083E-7;6.701441599E-4;3.284763408E-7;1.440796601E-3
3.916666667E-3;NaN;1.331730309E-4;2.284435081E-7;1.012767806E-3;4.029836910E-7;1.786563829E-3;2.976916380E-8;1.319768329E-4;1.267918490E-7;5.621114112E-4;3.536077960E-7;1.567663685E-3
3.937500000E-3;NaN;1.345935332E-4;1.985645812E-7;8.896942024E-4;4.027372503E-7;1.804516165E-3;2.657823205E-8;1.190871948E-4;1.285928612E-7;5.761768911E-4;3.486761782E-7;1.562288563E-3
3.958333333E-3;NaN;1.360215713E-4;1.675745380E-7;7.588057282E-4;3.670984302E-7;1.662283512E-3;2.261125278E-8;1.023875604E-4;1.551362611E-7;7.024831158E-4;3.152315058E-7;1.427421344E-3
3.979166667E-3;NaN;1.374571453E-4;1.381657828E-7;6.322409254E-4;3.057370205E-7;1.399039999E-3;1.891909314E-8;8.657299011E-5;2.005711211E-7;9.178051799E-4;2.623345464E-7;1.200432068E-3
4.000000000E-3;NaN;1.389002550E-4;1.125199971E-7;5.202924666E-4;2.339562440E-7;1.081813672E-3;1.625002831E-8;7.514013091E-5;2.558016138E-7;1.182826662E-3;2.025607377E-7;9.366408512E-4
4.020833333E-3;NaN;1.403509006E-4;9.305111352E-8;4.347619826E-4;1.666208180E-7;7.785011316E-4;1.484374688E-8;6.935432127E-5;3.089129849E-7;1.443331699E-3;1.471985170E-7;6.877544681E-4
4.041666667E-3;NaN;1.418090820E-4;8.274543829E-8;3.906275669E-4;1.136356573E-7;5.364551963E-4;1.448487001E-8;6.838068232E-5;3.475591755E-7;1.640769545E-3;1.032264796E-7;4.873151848E-4
4.062500000E-3;NaN;1.432747992E-4;8.454064549E-8;4.032275065E-4;7.866692623E-8;3.752120453E-4;1.471471209E-8;7.018371614E-5;3.628710630E-7;1.730760311E-3;7.300624464E-8;3.482126948E-4
4.083333333E-3;NaN;1.447480522E-4;9.999645256E-8;4.818502671E-4;6.073280001E-8;2.926515407E-4;1.507998927E-8;7.266554636E-5;3.530959504E-7;1.701454138E-3;5.593261632E-8;2.695210222E-4
4.104166667E-3;NaN;1.462288410E-4;1.279298662E-7;6.227586462E-4;5.728685935E-8;2.788706660E-4;1.529167381E-8;7.443939688E-5;3.250847923E-7;1.582502751E-3;5.064563639E-8;2.465413973E-4
4.125000000E-3;NaN;1.477171657E-4;1.636397996E-7;8.047012715E-4;6.707370086E-8;3.298359720E-4;1.522597005E-8;7.487394561E-5;2.927412170E-7;1.439559509E-3;5.660870587E-8;2.783741956E-4
4.145833333E-3;NaN;1.492130262E-4;1.993541298E-7;9.902543476E-4;9.123133526E-8;4.531745916E-4;1.483626931E-8;7.369639244E-5;2.729040689E-7;1.355599911E-3;7.449030345E-8;3.700166478E-4
4.166666667E-3;NaN;1.507164225E-4;2.262279861E-7;1.135067500E-3;1.321723963E-7;6.631566409E-4;1.412679000E-8;7.087920677E-5;2.801022790E-7;1.405374282E-3;1.055281439E-7;5.294728053E-4
