"Speed of sound (m/s)";"Crosscorrelation (a.u.)";"Normalized CC (a.u.)";"Crosscorrelation history 1 (a.u.)";"Normalized CC history 1 (a.u.)";"Crosscorrelation history 2 (a.u.)";"Normalized CC history 2 (a.u.)";"Crosscorrelation history 3 (a.u.)";"Normalized CC history 3 (a.u.)";"Crosscorrelation history 4 (a.u.)";"Normalized CC history 4 (a.u.)";"Crosscorrelation history 5 (a.u.)";"Normalized CC history 5 (a.u.)"
6.530612245E2;7.874642591E-6;2.134424950E-2;4.355559313E-7;1.180576053E-3;1.475065343E-5;3.998170374E-2;1.807946555E-5;4.900446199E-2;8.172450194E-6;2.215145818E-2;3.745610760E-6;1.015249260E-2
6.486486486E2;7.729888653E-6;2.123792275E-2;3.874687759E-7;1.064573153E-3;1.460901886E-5;4.013838076E-2;1.734358939E-5;4.765163229E-2;1.077833760E-5;2.961355740E-2;4.307428890E-6;1.183469079E-2
6.442953020E2;7.287728242E-6;2.029458030E-2;3.924532471E-7;1.092888438E-3;1.363822381E-5;3.797919173E-2;1.635863873E-5;4.555489670E-2;1.339919903E-5;3.731356488E-2;4.812655030E-6;1.340209331E-2
6.400000000E2;6.649402368E-6;1.876637973E-2;4.404159491E-7;1.242970794E-3;1.210701672E-5;3.416921712E-2;1.512547437E-5;4.268810637E-2;1.580648798E-5;4.461010766E-2;5.213853848E-6;1.471488049E-2
6.357615894E2;6.006623177E-6;1.717907003E-2;5.420233031E-7;1.550198174E-3;1.043248977E-5;2.983714262E-2;1.369333969E-5;3.916324274E-2;1.796539261E-5;5.138140495E-2;5.474711390E-6;1.565779101E-2
6.315789474E2;5.531372617E-6;1.603007149E-2;7.419316510E-7;2.150138534E-3;8.985126735E-6;2.603914686E-2;1.215645421E-5;3.522974198E-2;1.998411740E-5;5.791452734E-2;5.584935043E-6;1.618529689E-2
6.274509804E2;5.287784645E-6;1.552644356E-2;1.130880871E-6;3.320588714E-3;7.943801330E-6;2.332526593E-2;1.062617218E-5;3.120147163E-2;2.193656015E-5;6.441199595E-2;5.565624885E-6;1.634226173E-2
6.233766234E2;5.212031882E-6;1.550471806E-2;1.849939958E-6;5.503189184E-3;7.266230339E-6;2.161553408E-2;9.193781668E-6;2.734960105E-2;2.368547181E-5;7.045938529E-2;5.459773486E-6;1.624169815E-2
6.193548387E2;5.164231262E-6;1.556268212E-2;3.079309383E-6;9.279660544E-3;6.770131636E-6;2.040214724E-2;7.903893704E-6;2.381879877E-2;2.485215984E-5;7.489328886E-2;5.311956259E-6;1.600785916E-2
6.153846154E2;5.016497673E-6;1.531317268E-2;5.006864368E-6;1.528376641E-2;6.264290675E-6;1.912213880E-2;6.751490965E-6;2.060934814E-2;2.498174399E-5;7.625833489E-2;5.148303822E-6;1.571551919E-2
6.114649682E2;4.725430585E-6;1.461019663E-2;7.779454222E-6;2.405269822E-2;5.655383008E-6;1.748544524E-2;5.701834778E-6;1.762906591E-2;2.380732722E-5;7.360805021E-2;4.967450056E-6;1.535847808E-2
6.075949367E2;4.350770700E-6;1.362372087E-2;1.144952165E-5;3.585228867E-2;4.982720777E-6;1.560256831E-2;4.720723741E-6;1.478216780E-2;2.143683226E-5;6.712590464E-2;4.745863617E-6;1.486088918E-2
6.037735849E2;4.014124225E-6;1.272917992E-2;1.593564230E-5;5.053347795E-2;4.376571991E-6;1.387853718E-2;3.798977435E-6;1.204692844E-2;1.833950634E-5;5.815636557E-2;4.452990785E-6;1.412086864E-2
6.000000000E2;3.824856976E-6;1.228204073E-2;2.101232679E-5;6.747291603E-2;3.973084435E-6;1.275801557E-2;2.961119312E-6;9.508483124E-3;1.514769570E-5;4.864093398E-2;4.068748901E-6;1.306520480E-2
5.962732919E2;3.816737214E-6;1.240964562E-2;2.633352190E-5;8.562016619E-2;3.834989890E-6;1.246899192E-2;2.258492964E-6;7.343208542E-3;1.240579975E-5;4.033591255E-2;3.596134758E-6;1.169238421E-2
5.925925926E2;3.929904636E-6;1.293681623E-2;3.148246272E-5;1.036368239E-1;3.917386768E-6;1.289560877E-2;1.753873276E-6;5.773558993E-3;1.040867020E-5;3.426420386E-2;3.064617803E-6;1.008838661E-2
5.889570552E2;4.045553964E-6;1.348244246E-2;3.603214779E-5;1.200827782E-1;4.089479709E-6;1.362883189E-2;1.506085962E-6;5.019267448E-3;9.192893114E-6;3.063675668E-2;2.524304335E-6;8.412639715E-3
5.853658537E2;4.050923628E-6;1.366649414E-2;3.960291731E-5;1.336073171E-1;4.195993836E-6;1.415591368E-2;1.557781652E-6;5.255446852E-3;8.644678602E-6;2.916432408E-2;2.033471518E-6;6.860269198E-3
5.818181818E2;3.896816150E-6;1.330739882E-2;4.191045812E-5;1.431217588E-1;4.126215365E-6;1.409078370E-2;1.925592994E-6;6.575787248E-3;8.632802869E-6;2.948051597E-2;1.643062813E-6;5.610963235E-3
5.783132530E2;3.616042928E-6;1.249870799E-2;4.280311974E-5;1.479472742E-1;3.856434802E-6;1.332961290E-2;2.591253022E-6;8.956562601E-3;9.087200236E-6;3.140954476E-2;1.382668432E-6;4.779138226E-3
5.748502994E2;3.295620544E-6;1.152883734E-2;4.228770433E-5;1.479320990E-1;3.445199889E-6;1.205210023E-2;3.495069375E-6;1.222655514E-2;9.995038832E-6;3.496494070E-2;1.253186918E-6;4.383935573E-3
5.714285714E2;3.024053792E-6;1.070590644E-2;4.053826748E-5;1.435156014E-1;2.989951737E-6;1.058517664E-2;4.535702788E-6;1.605752180E-2;1.134910549E-5;4.017867073E-2;1.229320128E-6;4.352100584E-3
5.680473373E2;2.848309276E-6;1.020412856E-2;3.787895934E-5;1.357021774E-1;2.577885255E-6;9.235328751E-3;5.580016488E-6;1.999052774E-2;1.311789580E-5;4.699514067E-2;1.270545938E-6;4.551757843E-3
5.647058824E2;2.762739398E-6;1.001505023E-2;3.473449835E-5;1.259140641E-1;2.260354011E-6;8.193881396E-3;6.484099447E-6;2.350514192E-2;1.528742054E-5;5.541756298E-2;1.334988833E-6;4.839392462E-3
5.614035088E2;2.728158810E-6;1.000638564E-2;3.155168484E-5;1.157257873E-1;2.054721774E-6;7.536342235E-3;7.121657600E-6;2.612093258E-2;1.794519472E-5;6.581967960E-2;1.390228345E-6;5.099102332E-3
5.581395349E2;2.705562216E-6;1.003990924E-2;2.870689801E-5;1.065267134E-1;1.960987000E-6;7.276909545E-3;7.411643659E-6;2.750342581E-2;2.130841698E-5;7.907213199E-2;1.417562931E-6;5.260349621E-3
5.549132948E2;2.688452917E-6;1.009276147E-2;2.642419123E-5;9.919945311E-2;1.983110528E-6;7.444825016E-3;7.336787727E-6;2.754314498E-2;2.560414726E-5;9.612091375E-2;1.410531225E-6;5.295296456E-3
5.517241379E2;2.718653435E-6;1.032446873E-2;2.472886729E-5;9.391135102E-2;2.147414009E-6;8.155106680E-3;6.947885011E-6;2.638557038E-2;3.082548416E-5;1.170641109E-1;1.371334564E-6;5.207835849E-3
5.485714286E2;2.872813252E-6;1.103567395E-2;2.345398841E-5;9.009655214E-2;2.504540634E-6;9.620985222E-3;6.352131071E-6;2.440118492E-2;3.653092894E-5;1.403305351E-1;1.308511866E-6;5.026539859E-3
5.454545455E2;3.220678276E-6;1.251376651E-2;2.230246146E-5;8.665497497E-2;3.104387337E-6;1.206192453E-2;5.686802789E-6;2.209575630E-2;4.188958937E-5;1.627596723E-1;1.236485540E-6;4.804295870E-3
5.423728814E2;3.776226658E-6;1.483952345E-2;2.094890184E-5;8.232337420E-2;3.952112449E-6;1.553070583E-2;5.084286041E-6;1.997983405E-2;4.603891436E-5;1.809201648E-1;1.174442527E-6;4.615233406E-3
5.393258427E2;4.471581019E-6;1.777118863E-2;1.915020292E-5;7.610772719E-2;4.970015288E-6;1.975209189E-2;4.638345272E-6;1.843395175E-2;4.857681967E-5;1.930565099E-1;1.141358976E-6;4.536047891E-3
