"Speed of sound (m/s)";"Crosscorrelation (a.u.)";"Normalized CC (a.u.)";"Crosscorrelation history 1 (a.u.)";"Normalized CC history 1 (a.u.)";"Crosscorrelation history 2 (a.u.)";"Normalized CC history 2 (a.u.)";"Crosscorrelation history 3 (a.u.)";"Normalized CC history 3 (a.u.)";"Crosscorrelation history 4 (a.u.)";"Normalized CC history 4 (a.u.)";"Crosscorrelation history 5 (a.u.)";"Normalized CC history 5 (a.u.)"
8.087615838E1;NaN;1.197117517E-3;1.666282150E-8;2.944864712E-3;1.218610141E-8;2.153682078E-3;NaN;1.029774326E-2;2.112260930E-7;3.733054857E-2;2.736203990E-7;4.835766004E-2
8.080808081E1;NaN;1.199135414E-3;1.382031294E-8;2.446617775E-3;1.132328811E-8;2.004568063E-3;NaN;1.031510144E-2;1.925059121E-7;3.407942990E-2;2.347578624E-7;4.155931643E-2
8.074011775E1;NaN;1.201155010E-3;1.124270740E-8;1.993654903E-3;1.022958765E-8;1.813999676E-3;NaN;1.033247424E-2;1.682673856E-7;2.983863997E-2;1.994871907E-7;3.537480802E-2
8.067226891E1;NaN;1.203176305E-3;8.998409367E-9;1.598361601E-3;9.282432920E-9;1.648811889E-3;NaN;1.034986165E-2;1.424282228E-7;2.529911597E-2;1.693486214E-7;3.008090904E-2
8.060453401E1;NaN;1.205199300E-3;7.344486837E-9;1.306773587E-3;8.960558384E-9;1.594314386E-3;NaN;1.036726369E-2;1.201727446E-7;2.138182993E-2;1.436725322E-7;2.556304809E-2
8.053691275E1;NaN;1.207223994E-3;6.532269425E-9;1.164211722E-3;9.646724241E-9;1.719284480E-3;NaN;1.038468034E-2;1.053738487E-7;1.878022199E-2;1.217047911E-7;2.169079921E-2
8.046940486E1;NaN;1.209250387E-3;6.647251693E-9;1.186692995E-3;1.148198619E-8;2.049808434E-3;NaN;1.040211161E-2;9.906676861E-8;1.768578140E-2;1.038358005E-7;1.853716735E-2
8.040201005E1;NaN;1.211278480E-3;7.547741372E-9;1.349711760E-3;1.431148078E-8;2.559225728E-3;NaN;1.041955750E-2;9.942512319E-8;1.777952521E-2;9.111053799E-8;1.629268394E-2
8.033472803E1;NaN;1.213308271E-3;8.908145937E-9;1.595653179E-3;1.771692625E-8;3.173507696E-3;NaN;1.043701800E-2;1.030105209E-7;1.845154607E-2;8.390358686E-8;1.502905611E-2
8.026755853E1;NaN;1.215339762E-3;1.032237276E-8;1.852069439E-3;2.110954822E-8;3.787535099E-3;NaN;1.045449312E-2;1.066272194E-7;1.913135856E-2;8.133396733E-8;1.459317143E-2
8.020050125E1;NaN;1.217372953E-3;1.141086262E-8;2.050794508E-3;2.385437576E-8;4.287180068E-3;NaN;1.047198286E-2;1.088614419E-7;1.956490534E-2;8.195196042E-8;1.472865250E-2
8.013355593E1;NaN;1.219407843E-3;1.189863955E-8;2.142033766E-3;2.540395220E-8;4.573306316E-3;NaN;1.048948722E-2;1.105282046E-7;1.989766521E-2;8.484109001E-8;1.527338304E-2
8.006672227E1;NaN;1.221444431E-3;1.165901372E-8;2.102400966E-3;2.541661083E-8;4.583227060E-3;NaN;1.050700619E-2;1.139174371E-7;2.054205746E-2;8.996834087E-8;1.622345864E-2
8.000000000E1;NaN;1.223482720E-3;1.072778575E-8;1.937706301E-3;2.383803874E-8;4.305745747E-3;NaN;1.052453978E-2;1.213376068E-7;2.191660523E-2;9.758675091E-8;1.762660688E-2
7.993338884E1;NaN;1.225522707E-3;9.280404109E-9;1.679067944E-3;2.091492252E-8;3.784056767E-3;NaN;1.054208799E-2;1.336538169E-7;2.418147281E-2;1.074354905E-7;1.943789151E-2
7.986688852E1;NaN;1.227564394E-3;7.573079202E-9;1.372450855E-3;1.712869089E-8;3.104191286E-3;NaN;1.055965081E-2;1.494338467E-7;2.708153516E-2;1.185502567E-7;2.148457672E-2
7.980049875E1;NaN;1.229607780E-3;5.875878904E-9;1.066643913E-3;1.306717348E-8;2.372074252E-3;NaN;1.057722826E-2;1.651851490E-7;2.998593686E-2;1.297738285E-7;2.355774626E-2
