"Distance (cm)";"Crosscorrelation (a.u.)";"Normalized CC (a.u.)";"Crosscorrelation history 1 (a.u.)";"Normalized CC history 1 (a.u.)";"Crosscorrelation history 2 (a.u.)";"Normalized CC history 2 (a.u.)";"Crosscorrelation history 3 (a.u.)";"Normalized CC history 3 (a.u.)";"Crosscorrelation history 4 (a.u.)";"Normalized CC history 4 (a.u.)";"Crosscorrelation history 5 (a.u.)";"Normalized CC history 5 (a.u.)"
2.716458333E2;2.002276114E-8;1.477508753E-3;5.561854717E-6;4.104173730E-1;NaN;2.525891123E-1;NaN;2.279446538E-2;3.778068434E-6;2.787891811E-1;4.367652334E-7;3.222954371E-2
2.720000000E2;2.660691323E-8;1.968485869E-3;5.745183513E-6;4.250516570E-1;NaN;2.532481834E-1;NaN;2.285394211E-2;3.543813295E-6;2.621854828E-1;4.006806957E-7;2.964396059E-2
2.723541667E2;3.606764999E-8;2.675382575E-3;5.558268583E-6;4.122945331E-1;NaN;2.539081133E-1;NaN;2.291349633E-2;3.389040411E-6;2.513881460E-1;3.632563010E-7;2.694518712E-2
2.727083333E2;4.832152602E-8;3.593663921E-3;5.099336840E-6;3.792368397E-1;NaN;2.545689018E-1;NaN;2.297312804E-2;3.322820181E-6;2.471175888E-1;3.217447403E-7;2.392810327E-2
2.730625000E2;6.324799492E-8;4.715968398E-3;4.519965369E-6;3.370227605E-1;NaN;2.552305491E-1;NaN;2.303283725E-2;3.302889236E-6;2.462737558E-1;2.773047006E-7;2.067670614E-2
2.734166667E2;8.100993081E-8;6.056032957E-3;3.955697018E-6;2.957147509E-1;NaN;2.558930551E-1;NaN;2.309262396E-2;3.264986185E-6;2.440795066E-1;2.343998975E-7;1.752295663E-2
2.737708333E2;1.018178796E-7;7.631297845E-3;3.483638001E-6;2.611003026E-1;NaN;2.565564199E-1;NaN;2.315248816E-2;3.157901122E-6;2.366861707E-1;1.986644397E-7;1.488999296E-2
2.741250000E2;1.251795344E-7;9.406555475E-3;3.126600104E-6;2.349468504E-1;NaN;2.572206433E-1;NaN;2.321242985E-2;2.966488545E-6;2.229153448E-1;1.745397196E-7;1.311570268E-2
2.744791667E2;1.490338009E-7;1.122802965E-2;2.890515176E-6;2.177679821E-1;NaN;2.578857255E-1;NaN;2.327244903E-2;2.713057307E-6;2.043985169E-1;1.637226759E-7;1.233467205E-2
2.748333333E2;1.693880261E-7;1.279444694E-2;2.801692216E-6;2.116212299E-1;NaN;2.585516664E-1;NaN;2.333254571E-2;2.439939091E-6;1.842968004E-1;1.647221684E-7;1.244201903E-2
2.751875000E2;1.811430255E-7;1.371762805E-2;2.911732040E-6;2.205001103E-1;NaN;2.592184661E-1;NaN;2.339271989E-2;2.185078199E-6;1.654719518E-1;1.733109204E-7;1.312451714E-2
2.755416667E2;1.801863646E-7;1.368032721E-2;3.258466295E-6;2.473932210E-1;NaN;2.598861244E-1;NaN;2.345297156E-2;1.964450398E-6;1.491473802E-1;1.835876850E-7;1.393856637E-2
2.758958333E2;1.656427427E-7;1.260847890E-2;3.811745487E-6;2.901443902E-1;NaN;2.605546415E-1;NaN;2.351330072E-2;1.769346888E-6;1.346800503E-1;1.896543609E-7;1.443620752E-2
2.762500000E2;1.406918420E-7;1.073676602E-2;4.448865580E-6;3.395110059E-1;NaN;2.612240173E-1;NaN;2.357370737E-2;1.577777616E-6;1.204066196E-1;1.878317750E-7;1.433420582E-2
2.766041667E2;1.114127977E-7;8.524178110E-3;4.984904064E-6;3.813943370E-1;NaN;2.618942519E-1;NaN;2.363419153E-2;1.371710875E-6;1.049494139E-1;1.787625696E-7;1.367710007E-2
2.769583333E2;8.463170067E-8;6.491752326E-3;5.241820322E-6;4.020786419E-1;NaN;2.625653451E-1;NaN;2.369475317E-2;1.149437495E-6;8.816865873E-2;1.683355820E-7;1.291233542E-2
2.773125000E2;6.605470328E-8;5.079753499E-3;5.119346731E-6;3.936891422E-1;NaN;2.632372971E-1;NaN;2.375539231E-2;9.268930439E-7;7.128013524E-2;1.666745067E-7;1.281764002E-2
2.776666667E2;5.916994742E-8;4.561930627E-3;4.636702377E-6;3.574840862E-1;NaN;2.639101078E-1;NaN;2.381610894E-2;7.294270231E-7;5.623793196E-2;1.852244820E-7;1.428058118E-2
2.780208333E2;6.475556961E-8;5.005319555E-3;3.927695197E-6;3.035934931E-1;NaN;2.645837772E-1;NaN;2.387690307E-2;5.807749779E-7;4.489134095E-2;2.328029911E-7;1.799464310E-2
2.783750000E2;8.091685505E-8;6.270460769E-3;3.186977984E-6;2.469673396E-1;NaN;2.652583054E-1;NaN;2.393777469E-2;4.953516615E-7;3.838610829E-2;3.119710229E-7;2.417545837E-2
2.787291667E2;1.036287466E-7;8.050911974E-3;2.595155729E-6;2.016175145E-1;NaN;2.659336923E-1;NaN;2.399872381E-2;4.754505975E-7;3.693773236E-2;4.171435140E-7;3.240785806E-2
2.790833333E2;1.276627534E-7;9.943333589E-3;2.264869551E-6;1.764050429E-1;NaN;2.666099379E-1;NaN;2.405975041E-2;5.115040604E-7;3.983977605E-2;5.354796034E-7;4.170717133E-2
2.794375000E2;1.478085896E-7;1.154168049E-2;2.230856901E-6;1.741971670E-1;NaN;2.672870422E-1;NaN;2.412085452E-2;5.836690793E-7;4.557598473E-2;6.504207498E-7;5.078831004E-2
2.797916667E2;1.603358595E-7;1.255163249E-2;2.477419994E-6;1.939408027E-1;NaN;2.679650053E-1;NaN;2.418203612E-2;6.648562646E-7;5.204719344E-2;7.465757511E-7;5.844447079E-2
2.801458333E2;1.641150847E-7;1.288002886E-2;2.974589065E-6;2.334507707E-1;NaN;2.686438271E-1;NaN;2.424329521E-2;7.260819856E-7;5.698413980E-2;8.140943170E-7;6.389149613E-2
2.805000000E2;1.604625358E-7;1.262523243E-2;3.694856124E-6;2.907122036E-1;NaN;2.693235076E-1;NaN;2.430463179E-2;7.438721175E-7;5.852804417E-2;8.509773779E-7;6.695511284E-2
2.808541667E2;1.516523746E-7;1.196219720E-2;4.597476643E-6;3.626446495E-1;NaN;2.700040468E-1;NaN;2.436604587E-2;7.074788130E-7;5.580526581E-2;8.625290489E-7;6.803548313E-2
2.812083333E2;1.393485533E-7;1.101942256E-2;5.592627259E-6;4.422544871E-1;NaN;2.706854447E-1;NaN;2.442753745E-2;6.225876649E-7;4.923306627E-2;8.584511212E-7;6.788470656E-2
2.815625000E2;1.241727252E-7;9.844095948E-3;6.519424107E-6;5.168432626E-1;NaN;2.713677014E-1;NaN;2.448910651E-2;5.093666363E-7;4.038128366E-2;8.491374527E-7;6.731744465E-2
2.819166667E2;1.063827780E-7;8.454984782E-3;7.169600448E-6;5.698183846E-1;NaN;2.720508168E-1;NaN;2.455075308E-2;3.959727483E-7;3.147072886E-2;8.429082676E-7;6.699182623E-2
2.822708333E2;8.679767420E-8;6.915762955E-3;7.358442690E-6;5.862973384E-1;NaN;2.727347910E-1;NaN;2.461247713E-2;3.115009406E-7;2.481940542E-2;8.451168677E-7;6.733622738E-2
2.826250000E2;6.723148235E-8;5.370241762E-3;7.005529427E-6;5.595799078E-1;NaN;2.734196238E-1;NaN;2.467427868E-2;2.823136253E-7;2.255033457E-2;8.585749057E-7;6.858029384E-2
2.829791667E2;5.016889713E-8;4.017385249E-3;6.177125119E-6;4.946469378E-1;NaN;2.741053154E-1;NaN;2.473615773E-2;3.326675081E-7;2.663908550E-2;8.839364593E-7;7.078316439E-2
2.833333333E2;3.781928562E-8;3.036048206E-3;5.064957157E-6;4.066035051E-1;NaN;2.747918657E-1;NaN;2.479811427E-2;4.866803258E-7;3.906961504E-2;9.190959960E-7;7.378298412E-2
2.836875000E2;3.111732817E-8;2.504278934E-3;3.913552232E-6;3.149571955E-1;NaN;2.754792747E-1;NaN;2.486014830E-2;7.663011052E-7;6.167083833E-2;9.579287804E-7;7.709276490E-2
2.840416667E2;2.937330031E-8;2.369828129E-3;2.931644093E-6;2.365240733E-1;NaN;2.761675425E-1;NaN;2.492225983E-2;1.181970317E-6;9.536097327E-2;9.897719013E-7;7.985446879E-2
2.843958333E2;3.077424873E-8;2.489051705E-3;2.228926380E-6;1.802777723E-1;NaN;2.768566689E-1;NaN;2.498444885E-2;1.717968345E-6;1.389509806E-1;1.000968250E-6;8.095930305E-2
2.847500000E2;3.329898652E-8;2.699967155E-3;1.803664913E-6;1.462457730E-1;NaN;2.775466541E-1;NaN;2.504671536E-2;2.320437457E-6;1.881470151E-1;9.786419438E-7;7.935079657E-2
2.851041667E2;3.544275619E-8;2.880942670E-3;1.578940051E-6;1.283431723E-1;NaN;2.782374981E-1;NaN;2.510905937E-2;2.898040757E-6;2.355654631E-1;9.154584287E-7;7.441247615E-2
2.854583333E2;3.649941938E-8;2.974208480E-3;1.457455175E-6;1.187628629E-1;NaN;2.789292007E-1;NaN;2.517148087E-2;3.340661921E-6;2.722187143E-1;8.132673860E-7;6.627028038E-2
2.858125000E2;3.650644446E-8;2.982167098E-3;1.362886284E-6;1.113325248E-1;NaN;2.796217621E-1;NaN;2.523397987E-2;3.552365229E-6;2.901884000E-1;6.836465699E-7;5.584625777E-2
2.861666667E2;3.605900180E-8;2.952920737E-3;1.256027265E-6;1.028577823E-1;NaN;2.803151822E-1;NaN;2.529655636E-2;3.485689195E-6;2.854478326E-1;5.446834422E-7;4.460486846E-2
